geography_type,geography_name,occupation,occupation_group,occ_abb,demand_entry,demand_ticker,demand_entry_sl,demand_entry_fe,demand_entry_he,reg_salary,reg_salary_label,lq,lq_label,fe_opportunity_score,he_opportunity_score,fe_opportunity_level,he_opportunity_level
Country,UK Total,Nursing and Midwifery Professionals,Professional Occupations,Nursing Profnls,152629,High,69.39,73.04,124186.13,35500,High,,,41,79,Medium,High
Country,UK Total,Teaching and Educational Professionals,Professional Occupations,Education Profnls,309893,Very High,4710.87,22842,150763.56,38000,High,,,66,99,High,Very High
Country,UK Total,Legal Professionals,Professional Occupations,Legal Profnls,39595,Medium,1130.03,761.96,18639.45,46400,Very High,,,44,99,Medium,Very High
Country,UK Total,"Business, Research and Administrative Professionals",Professional Occupations,Business Profnls,89724,High,0,1872.45,73975.47,42700,Very High,,,28,99,Low,Very High
Country,UK Total,"Architects, Town Planners and Surveyors",Professional Occupations,Architects/Surveyors,25254,Medium,1728.02,4317.56,16599.47,44300,Very High,,,49,92,Medium,Very High
Country,UK Total,Welfare Professionals,Professional Occupations,Welfare Profnls,47589,Medium,2112.71,4806.06,37700.19,34600,High,,,41,95,Medium,Very High
Country,UK Total,Librarians and Related Professionals,Professional Occupations,Librarians,5007,Low,747.05,580.26,2427.43,28100,Medium,,,64,,Medium,
Country,UK Total,Quality and Regulatory Professionals,Professional Occupations,Regulatory Profnls,13018,Low,1423.6,2558.87,8271.26,43000,Very High,,,60,99,Medium,Very High
Country,UK Total,Media Professionals,Professional Occupations,Media Profnls,17644,Low,1067.52,1315.01,13449.12,36800,High,,,64,93,Medium,Very High
Country,UK Total,"Science, Engineering and Production Technicians",Associate Professional And Technical Occupations,Engineering Techs,42298,Medium,9344.13,18727.18,12657.49,31400,High,,,50,83,Medium,High
Country,UK Total,Draughtspersons and Related Architectural Technicians,Associate Professional And Technical Occupations,Architectural Techs,7418,Low,664.13,3084,3006.51,38900,High,,,48,54,Medium,Medium
Country,UK Total,Information Technology Technicians,Associate Professional And Technical Occupations,IT Techs,75180,Medium,23484.05,15102.82,34519.09,32700,High,,,54,99,Medium,Very High
Country,UK Total,Health Associate Professionals,Associate Professional And Technical Occupations,Health Assoc. Profnls,36939,Medium,4172.53,16108.93,14390.5,30800,Medium,,,92,87,Very High,High
Country,UK Total,Welfare and Housing Associate Professionals,Associate Professional And Technical Occupations,Welfare Assoc. Profnls,52327,Medium,9574.86,17504.52,20624.86,27900,Medium,,,65,89,Medium,High
Country,UK Total,Protective Service Occupations,Associate Professional And Technical Occupations,Protective Service,42010,Medium,23063.79,14175.53,4350.05,40800,High,,,47,,Medium,
Country,UK Total,"Artistic, Literary and Media Occupations",Associate Professional And Technical Occupations,Artistic/Media Occs,58819,Medium,11374.9,15926.06,23349.3,37800,High,,,44,79,Medium,High
Country,UK Total,Design Occupations,Associate Professional And Technical Occupations,Design Occs,18481,Low,3178.33,3039.85,11509.25,41700,High,,,18,66,Low,High
Country,UK Total,Sports and Fitness Occupations,Associate Professional And Technical Occupations,Sports Occs,37534,Medium,11900.47,21193.6,4004.81,30500,Medium,,,53,56,Medium,Medium
Country,UK Total,Legal Associate Professionals,Associate Professional And Technical Occupations,Legal Assoc. Profnls,16942,Low,3609.38,1070.94,9847.89,37400,High,,,28,66,Low,High
Country,UK Total,"Business, Finance and Related Associate Professionals",Associate Professional And Technical Occupations,Business Assoc. Profnls,93685,High,17363.5,15377.75,51135.25,37600,High,,,52,85,Medium,High
Country,UK Total,"Sales, Marketing and Related Associate Professionals",Associate Professional And Technical Occupations,Sales  Assoc. Profnls,220843,Very High,41967.77,25443.67,145520.79,34700,High,,,58,97,Medium,Very High
Country,UK Total,Conservation and Environmental Associate Professionals,Associate Professional And Technical Occupations,Environmental Assoc. Profnls,1326,Low,284.57,265.83,693.56,26500,Medium,,,69,77,High,High
Country,UK Total,Public Services and Other Associate Professionals,Associate Professional And Technical Occupations,Public Services Assoc. Profnls,126344,High,27389.52,21485.63,71873.98,33000,High,,,65,99,Medium,Very High
Country,UK Total,Administrative Occupations: Government and Related Organisations,Administrative And Secretarial Occupations,Administrative: Government,53711,Medium,28948.34,19240.61,3587.32,28800,Medium,,,52,99,Medium,Very High
Country,UK Total,Administrative Occupations: Finance,Administrative And Secretarial Occupations,Administrative: Finance,136647,High,92665.42,26593.91,15461.45,28300,Medium,,,49,99,Medium,Very High
Country,UK Total,Administrative Occupations: Records,Administrative And Secretarial Occupations,Administrative: Records,82129,Medium,58190.51,23938.49,0,28900,Medium,,,59,,Medium,
