nation_region,soc3,soc_description,notes,percentage_of_workforce_who_are_full_time
East Midlands,222,Therapy Professionals,,0.4196960538813574
East Midlands,223,Nursing and Midwifery Professionals,,0.652495753401175
East Midlands,231,Teaching and Educational Professionals,,0.7236342241861966
East Midlands,241,Legal Professionals,,0.8415624597138068
East Midlands,242,"Business, Research and Administrative Professionals",,0.8272531725395001
East Midlands,243,"Architects, Town Planners and Surveyors",,0.9470880183944144
East Midlands,244,Welfare Professionals,,0.8737388389259582
East Midlands,245,Librarians and Related Professionals,,0.363323563145151
East Midlands,246,Quality and Regulatory Professionals,,0.8904236001547942
East Midlands,247,Media Professionals,,0.7568413302245675
East Midlands,311,"Science, Engineering and Production Technicians",,0.885563963963964
East Midlands,312,Draughtspersons and Related Architectural Technicians,,0.8552818828680898
East Midlands,313,Information Technology Technicians,,0.8568148611980797
East Midlands,321,Health Associate Professionals,,0.6690531591193842
East Midlands,323,Welfare and Housing Associate Professionals,,0.7125703430230474
East Midlands,331,Protective Service Occupations,,0.9164046241018396
East Midlands,341,"Artistic, Literary and Media Occupations",,0.7707476270368413
East Midlands,342,Design Occupations,,0.8757827175954915
East Midlands,344,Sports and Fitness Occupations,,0.3565906606278307
East Midlands,352,Legal Associate Professionals,,0.6329164985881404
East Midlands,353,"Business, Finance and Related Associate Professionals",,0.8797735620918026
East Midlands,354,"Sales, Marketing and Related Associate Professionals",,0.9152561559625352
East Midlands,355,Conservation and Environmental Associate Professionals,Using England figure,0.7046140781279486
East Midlands,356,Public Services and Other Associate Professionals,,0.797983908837617
East Midlands,411,Administrative Occupations: Government and Related Organisations,,0.6743031245948399
East Midlands,412,Administrative Occupations: Finance,,0.6695710986235727
East Midlands,413,Administrative Occupations: Records,,0.8241104319313444
East Midlands,416,Administrative Occupations: Office Managers and Supervisors,,0.7714098197814673
East Midlands,421,Secretarial and Related Occupations,,0.5121665708487162
East Midlands,511,Agricultural and Related Trades,,0.7933617195916483
East Midlands,521,"Metal Forming, Welding and Related Trades",,1
East Midlands,522,"Metal Machining, Fitting and Instrument Making Trades",,0.9433414532557524
East Midlands,523,Vehicle Trades,,0.9494740574400189
East Midlands,524,Electrical and Electronic Trades,,0.957898737384401
East Midlands,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",,1
East Midlands,531,Construction and Building Trades,,0.963229247433096
East Midlands,532,Building Finishing Trades,,0.9256248885265116
East Midlands,533,Construction and Building Trades Supervisors,,1
East Midlands,541,Textiles and Garments Trades,,0.8987895270090119
East Midlands,542,Printing Trades,,1
East Midlands,543,Food Preparation and Hospitality Trades,,0.7244862692433025
East Midlands,544,Other Skilled Trades,,0.7446799326628394
East Midlands,612,Childcare and Related Personal Services,,0.5864491770397027
East Midlands,613,Animal Care and Control Services,,0.506922077188224
East Midlands,614,Caring Personal Services,,0.669036439619627
East Midlands,621,Leisure and Travel Services,,0.5748853487810766
East Midlands,622,Hairdressers and Related Services,,0.5470005334540341
East Midlands,711,Sales Assistants and Retail Cashiers,,0.36319828477459914
East Midlands,712,Sales Related Occupations,,0.5995487677889622
East Midlands,713,Sales Supervisors,,0.8745742201505916
East Midlands,721,Customer Service Occupations,,0.777734770068299
East Midlands,722,Customer Service Managers and Supervisors,,0.9546253338956839
Eastern,222,Therapy Professionals,,0.5479455928512852
Eastern,223,Nursing and Midwifery Professionals,,0.6661354997218617
Eastern,231,Teaching and Educational Professionals,,0.7749628474613903
Eastern,241,Legal Professionals,,0.8459942064075403
Eastern,242,"Business, Research and Administrative Professionals",,0.8967523105054109
Eastern,243,"Architects, Town Planners and Surveyors",,0.9492741506422436
Eastern,244,Welfare Professionals,,0.7431438127090301
Eastern,245,Librarians and Related Professionals,,0.475200583515682
Eastern,246,Quality and Regulatory Professionals,,0.8974115006465149
Eastern,247,Media Professionals,,0.7755114392930638
Eastern,311,"Science, Engineering and Production Technicians",,0.8266865035306658
Eastern,312,Draughtspersons and Related Architectural Technicians,,1
Eastern,313,Information Technology Technicians,,0.8982797667807064
Eastern,321,Health Associate Professionals,,0.7400531095887354
Eastern,323,Welfare and Housing Associate Professionals,,0.6011008111239861
Eastern,331,Protective Service Occupations,,0.9473985829397055
Eastern,341,"Artistic, Literary and Media Occupations",,0.6044417026526835
Eastern,342,Design Occupations,,0.7663926241512449
Eastern,344,Sports and Fitness Occupations,,0.5760640374853573
Eastern,352,Legal Associate Professionals,,0.7504294478527608
Eastern,353,"Business, Finance and Related Associate Professionals",,0.8751901000252018
Eastern,354,"Sales, Marketing and Related Associate Professionals",,0.8537566401195824
Eastern,355,Conservation and Environmental Associate Professionals,,1
