nation_region,soc3,soc_name,2012,2013,2014,2015,notes:
East Midlands,222,Therapy Professionals,8582.5,7865,7690,7689.5,
East Midlands,223,Nursing and Midwifery Professionals,48316.75,47769.5,36894.25,42977.75,
East Midlands,231,Teaching and Educational Professionals,97280.5,97809.5,110519.75,106210.25,
East Midlands,241,Legal Professionals,9095.75,10463.25,9613,7729,
East Midlands,242,"Business, Research and Administrative Professionals",33098,38343.5,40288.75,38302.5,
East Midlands,243,"Architects, Town Planners and Surveyors",8750.25,16543.5,12268,11683.75,
East Midlands,244,Welfare Professionals,10206.75,9304.25,10931,10373.5,
East Midlands,245,Librarians and Related Professionals,28214.25,34544,29890.5,29102.75,Using England figures
East Midlands,246,Quality and Regulatory Professionals,8810,8409.25,8549.25,11591.75,
East Midlands,247,Media Professionals,129986.25,123274.25,129008.5,130022.25,Using England figures
East Midlands,311,"Science, Engineering and Production Technicians",22568,25565.5,19561,23308,
East Midlands,312,Draughtspersons and Related Architectural Technicians,49409.75,43950.5,51956,43945.5,Using England figures
East Midlands,313,Information Technology Technicians,11886,13991.5,11345.5,19580.5,
East Midlands,321,Health Associate Professionals,9344.5,7354.75,6015.75,9337.25,
East Midlands,323,Welfare and Housing Associate Professionals,16306,18959.5,16741,18382.5,
East Midlands,331,Protective Service Occupations,24863,24797.5,17845.5,21417.5,
East Midlands,341,"Artistic, Literary and Media Occupations",11621,12801.5,15275.75,14508.25,
East Midlands,342,Design Occupations,6338.75,11232.5,9990,12286.5,
East Midlands,344,Sports and Fitness Occupations,12359.75,9384.5,10246,7844.25,
East Midlands,352,Legal Associate Professionals,51048.75,60672.25,47817,59772.75,Using England figures
East Midlands,353,"Business, Finance and Related Associate Professionals",33044,31861,34129.5,35403.25,
East Midlands,354,"Sales, Marketing and Related Associate Professionals",63932.25,65651,72637.5,67156.5,
East Midlands,355,Conservation and Environmental Associate Professionals,6390,8653.75,7494.5,9948.75,Using UK figures
East Midlands,356,Public Services and Other Associate Professionals,36829.25,40242.75,37997.5,30801,
East Midlands,411,Administrative Occupations: Government and Related Organisations,26577.75,26219,22534,25776.5,
East Midlands,412,Administrative Occupations: Finance,53268.25,53208.5,51105.5,48081.75,
East Midlands,413,Administrative Occupations: Records,31964.5,31531.75,37547.75,41886.75,
East Midlands,416,Administrative Occupations: Office Managers and Supervisors,15656.5,14673.75,11631.75,18887.75,
East Midlands,421,Secretarial and Related Occupations,45561.75,49646.25,47891.25,47710,
East Midlands,511,Agricultural and Related Trades,22408,20942.5,22276.25,19737.25,
East Midlands,521,"Metal Forming, Welding and Related Trades",9667.75,8474.25,10695,8324,
East Midlands,522,"Metal Machining, Fitting and Instrument Making Trades",23375,20775,24778,26323.75,
East Midlands,523,Vehicle Trades,18843,28359.25,27030,16167,
East Midlands,524,Electrical and Electronic Trades,23863.5,29109.5,28698.25,32176.5,
East Midlands,525,"Skilled Metal, Electrical and Electronic Trades Supervisors",34251,36464.75,33604.25,29357.75,Using England figures
East Midlands,531,Construction and Building Trades,53556,46197.25,55793.75,56964.75,
East Midlands,532,Building Finishing Trades,17627.75,11293.75,12370.25,13816.25,
East Midlands,533,Construction and Building Trades Supervisors,46421.75,39390,46432.5,46391.75,Using England figures
East Midlands,541,Textiles and Garments Trades,34217.25,36135.75,42341.5,37872.75,Using England figures
East Midlands,542,Printing Trades,49020.5,46581.5,53996,48859.5,Using England figures
East Midlands,543,Food Preparation and Hospitality Trades,31330.75,30830.75,36922.75,33622.25,
East Midlands,544,Other Skilled Trades,10015.75,6920.25,8550,8896.75,
East Midlands,612,Childcare and Related Personal Services,58555,49417.5,63838.75,55974.5,
East Midlands,613,Animal Care and Control Services,53397,64448.25,70211.75,73526.5,Using England figures
East Midlands,614,Caring Personal Services,92409.75,86990.75,95501.5,97866.25,
East Midlands,621,Leisure and Travel Services,146094,146204.75,135766.75,140461.25,Using England figures
East Midlands,622,Hairdressers and Related Services,16188.5,22036.75,22662.75,20509.5,
East Midlands,711,Sales Assistants and Retail Cashiers,95981.5,97682,100825.75,98471.25,
East Midlands,712,Sales Related Occupations,14009.25,11973,12019.25,8908,
East Midlands,713,Sales Supervisors,13080.75,17389.5,19073,14774.75,
