region_or_nation,job_family,occupation,medium_skilled,include_fe,include_he,demand_entry,demand_ticker,lq,lq_label,demand_entry_sl,demand_entry_fe,demand_entry_he,advertised_avg_salary_entry_hs,advertised_avg_salary_entry_degree,advertised_entry_salary_degree_premium,advertised_entry_salary_degree_premium_percentage,supply_fe,supply_he,fe_ds_ratio,he_ds_ratio,fe_ds_ratio_log,he_ds_ratio_log
EAST MIDLANDS,Professional Occupations,Teaching and Educational Professionals,0,1,1,21612,Very High,1.09694281617834,Average,3302.7,2024.97,9835.25,32447.4284,34209.0630525813,1761.63465258127,0.0542919651709984,722,1244,2.80470914127424,7.90614951768489,1.03129984064781,2.0676408766214
EAST MIDLANDS,Administrative And Secretarial Occupations,Other Administrative Occupations,0,1,0,19641,Very High,1.04665766724975,Average,10877.54,4809.48,3611.51,20590.6757,28567.565647005,7976.88994700503,0.387403019853546,2561,,1.8777821163608,,0.630091355078139,
EAST MIDLANDS,"Process, Plant And Machine Operatives",Road Transport Drivers,0,0,0,19198,Very High,1.70788803452003,Very High,8321.1,6067.64,3613.66,22586.2561,23503.4902866397,917.234186639678,0.0406102801003695,375,,16.1813333333333,,2.78385831449801,
EAST MIDLANDS,Associate Professional And Technical Occupations,"Sales, Marketing and Related Associate Professionals",1,1,0,17928,Very High,0.876451837624153,Average,3681.81,2025.98,11619.94,29964.9858,38098.1842051131,8133.19840511306,0.271423402613895,1123,1117,1.80498664292075,10.4028648164727,0.590553191713558,2.3420812313367
EAST MIDLANDS,"Caring, Leisure And Other Service Occupations",Caring Personal Services,1,1,0,17076,Very High,1.10644350634313,Average,5522.4,9179.47,2156.05,20600.0565,21400.7014842391,800.64498423913,0.0388661547719119,1981,38,4.63351842503786,56.7381578947368,1.53331649852054,4.03844696312821
EAST MIDLANDS,Sales And Customer Service Occupations,Customer Service Occupations,0,1,0,14340,Very High,1.25081845592927,High,7787.19,3450.2,2719.25,21332.0372,26753.4036599671,5421.36645996705,0.25414199352545,746,28,4.62600536193029,97.1160714285714,1.53169372289424,4.57590687579876
EAST MIDLANDS,Professional Occupations,Nursing and Midwifery Professionals,0,0,1,13531,Very High,1.01207254618456,Average,1.01,1.07,11010.98,29771.0799,34345.7934940235,4574.71359402348,0.153663004815068,8,2608,0.125,4.2204754601227,-2.07944154167984,1.43994778997685
EAST MIDLANDS,Professional Occupations,Information Technology and Telecommunications Professionals,0,1,0,10852,High,0.705111190009177,Low,1027.85,975.74,8305.03,43356.3316,51403.9853803612,8047.65378036118,0.185616575096985,3312,670,0.294685990338164,12.3955671641791,-1.22184492909206,2.51733892193762
EAST MIDLANDS,Sales And Customer Service Occupations,Sales Assistants and Retail Cashiers,0,1,0,10824,High,0.952065304163679,Average,5163.74,2727.28,2649.24,22731.8923,36312.5928828265,13580.7005828265,0.597429391429348,1940,,1.40618556701031,,0.340880766905979,
EAST MIDLANDS,Associate Professional And Technical Occupations,Public Services and Other Associate Professionals,1,1,0,8266,High,0.905982553659465,Average,2032.7,1644.44,4299.83,30399.0708,39356.5276740072,8957.45687400722,0.294662193227538,665,317,2.47218045112782,13.5646687697161,0.905100534960271,2.60746852780437
