Location_Label,LEPplus,LEP_Code,Pin_Location,Lat,Lon,Region,Nation
Belfast Metropolitan Area,Belfast Metropolitan Area,,Belfast,54.5985223,-5.927124023,N/A,Northern Ireland
The Black Country,Black Country,E37000001,Custom,52.5473,-2.052352,WEST MIDLANDS,England
Buckinghamshire Thames Valley,Buckinghamshire Thames Valley,,Aylesbury,51.81519474,-0.811271667,SOUTH EAST ENGLAND,England
Cardiff Capital Region,Cardiff Capital Region,,Cardiff,51.4813829,-3.177623749,N/A,Wales
Cheshire and Warrington,Cheshire and Warrington,,Custom,53.31569807,-2.550888062,NORTH WEST ENGLAND,England
Greater Brighton,Coast to Capital,E37000004,Brigthon,50.842941,-0.131312,SOUTH EAST ENGLAND,England
Plymouth and South West Peninsula,Cornwall and Isles of Scilly,E37000005,Tiverton,50.903,-3.488,SOUTH WEST ENGLAND,England
Coventry and Warwickshire,Coventry and Warwickshire,E37000006,Coventry,52.408056,-1.510556,WEST MIDLANDS,England
Cumbria,Cumbria,,Custom,54.65000162,-2.942962646,NORTH WEST ENGLAND,England
Nottingham City Region,"Derby, Derbyshire, Nottingham and Nottinghamshire",E37000008,Nottingham,52.95,-1.133333,EAST MIDLANDS,England
Dorset,Dorset,,Custom,50.73949703,-2.301635742,SOUTH WEST ENGLAND,England
Edinburgh and the Lothians,Edinburgh and the Lothians,,Edinburgh,55.95155464,-3.193416595,N/A,Scotland
Enterprise M3,Enterprise M3,,Custom,51.22150755,-1.147384644,SOUTH EAST ENGLAND,England
Glasgow City Region,Glasgow City Region,,Glasgow,55.86201898,-4.255228043,N/A,Scotland
Gloucestershire,Gloucestershire,,Gloucester,51.864196,-2.24395752,SOUTH WEST ENGLAND,England
Greater Birmingham,Greater Birmingham and Solihull,E37000012,Birmingham,52.483056,-1.893611,WEST MIDLANDS,England
Greater Cambridge,Greater Cambridge and Greater Peterborough,E37000013,Cambridge,52.205,0.119,EAST OF ENGLAND,England
Greater Lincolnshire,Greater Lincolnshire,,,,,,England
Greater Manchester,Greater Manchester,E37000015,Manchester,53.466667,-2.233333,NORTH WEST ENGLAND,England
Plymouth and South West Peninsula,Heart of the South West,E37000016,Tiverton,50.903,-3.488,SOUTH WEST ENGLAND,England
Hertfordshire,Hertfordshire,,,,,,England
Hull and the Humber,Humber,E37000018,Hull,53.75,-0.333333,YORKSHIRE AND THE HUMBER,England
"Preston, South Ribble and Lancashire",Lancashire,E37000019,Preston,53.759,-2.699,NORTH WEST ENGLAND,England
Leeds City Region,Leeds City Region,E37000020,Leeds,53.799722,-1.549167,YORKSHIRE AND THE HUMBER,England
Leicester and Leicestershire,Leicester and Leicestershire,E37000021,Leicester,52.633333,-1.133333,EAST MIDLANDS,England
Liverpool City Region,Liverpool City Region,E37000022,Liverpool,53.4,-3,NORTH WEST ENGLAND,England
Great Ipswich & Greater Norwich,New Anglia,E37000024,Thetford,52.41,0.74,EAST OF ENGLAND,England
Newcastle Region,North East,E37000025,Newcastle,54.966667,-1.6,NORTH EAST ENGLAND,England
Northamptonshire,Northamptonshire,,,,,,England
Oxford and Oxfordshire,Oxfordshire,E37000027,Oxford,51.751944,-1.257778,SOUTH EAST ENGLAND,England
Sheffield City Region,Sheffield City Region,E37000040,Sheffield,53.383611,-1.466944,YORKSHIRE AND THE HUMBER,England
Southampton and Portsmouth,Solent,E37000029,Fareham,50.8542,-1.1755,SOUTH EAST ENGLAND,England
Southend-on-Sea,South East,E37000030,Swale,51.340203,0.730922,EAST OF ENGLAND,England
South East Midlands,South East Midlands,,,,,,England
Stoke-on-Trent and Staffordshire,Stoke-on-Trent and Staffordshire,E37000032,Stoke on Trent,53,-2.183333,WEST MIDLANDS,England
Swansea Bay City Region,Swansea Bay City Region,,,,,N/A,Wales
Swindon and Wiltshire,Swindon and Wiltshire,E37000033,Swindon,51.56,-1.78,SOUTH WEST ENGLAND,England
Tees Valley,Tees Valley,E37000034,Middlesbrough,54.5767,-1.2355,NORTH EAST ENGLAND,England
Thames Valley Berkshire,Thames Valley Berkshire,E37000035,Reading,51.454167,-0.973056,SOUTH EAST ENGLAND,England
The Marches,The Marches,,,,,,England
Bristol Region,West of England,E37000037,Bristol,51.45,-2.583333,SOUTH WEST ENGLAND,England
Worcestershire,Worcestershire,,,,,,England
York and North Yorkshire,York and North Yorkshire,,,,,,England
