soc_3,soc3_name,common_titles_for_this_occupation_group_include
222,Therapy Professionals,Physiotherapist
222,Therapy Professionals,Occupational Therapist
222,Therapy Professionals,Speech Therapist
222,Therapy Professionals,Cognitive Behavioural Therapist
222,Therapy Professionals,Physical Therapist
223,Nursing and Midwifery Professionals,Registered Nurse
223,Nursing and Midwifery Professionals,Staff Nurse
223,Nursing and Midwifery Professionals,Nurse Practitioner
223,Nursing and Midwifery Professionals,Charge Nurse
223,Nursing and Midwifery Professionals,Clinical Nurse Specialist
231,Teaching and Educational Professionals,Primary School Teacher
231,Teaching and Educational Professionals,Maths Teacher
231,Teaching and Educational Professionals,English Teacher
231,Teaching and Educational Professionals,Science Teacher
231,Teaching and Educational Professionals,Geography Teacher
241,Legal Professionals,Property Solicitor
241,Legal Professionals,Solicitor
241,Legal Professionals,Conveyancer
241,Legal Professionals,Corporate Solicitor
241,Legal Professionals,Litigation Solicitor
242,"Business, Research and Administrative Professionals",Business Analyst
242,"Business, Research and Administrative Professionals",Accountant
242,"Business, Research and Administrative Professionals",Financial Accountant
242,"Business, Research and Administrative Professionals",Risk Manager
242,"Business, Research and Administrative Professionals",Human Resources Advisor
243,"Architects, Town Planners and Surveyors",Quantity Surveyor
243,"Architects, Town Planners and Surveyors",Licenced Surveyor
243,"Architects, Town Planners and Surveyors",Planner
243,"Architects, Town Planners and Surveyors",Transport Planner
243,"Architects, Town Planners and Surveyors",Architect
244,Welfare Professionals,Social Worker
244,Welfare Professionals,Family Support Worker
244,Welfare Professionals,Mental Health Support Worker
244,Welfare Professionals,Personal Care Assistant
244,Welfare Professionals,Probation Officer
245,Librarians and Related Professionals,Librarian
245,Librarians and Related Professionals,Archivist
245,Librarians and Related Professionals,Library Manager
245,Librarians and Related Professionals,School Librarian
245,Librarians and Related Professionals,Curator
246,Quality and Regulatory Professionals,Quality Engineer
246,Quality and Regulatory Professionals,Compliance Officer
246,Quality and Regulatory Professionals,Quality Manager
246,Quality and Regulatory Professionals,Quality Assurance Analyst
246,Quality and Regulatory Professionals,Validation Engineer
247,Media Professionals,Public Relations Manager
247,Media Professionals,Technical Writer
247,Media Professionals,Social Media Manager
247,Media Professionals,Content Editor
247,Media Professionals,Communications Specialist
247,Media Professionals,Communications Coordinator
311,"Science, Engineering and Production Technicians",Maintenance Engineer
311,"Science, Engineering and Production Technicians",Maintenance Technician
311,"Science, Engineering and Production Technicians",Manufacturing Engineer
311,"Science, Engineering and Production Technicians",Laboratory Technician
311,"Science, Engineering and Production Technicians",Structural Technician/Draftsperson
312,Draughtspersons and Related Architectural Technicians,Architectural Technician
312,Draughtspersons and Related Architectural Technicians,Cad Draughter
312,Draughtspersons and Related Architectural Technicians,Cad Engineer
312,Draughtspersons and Related Architectural Technicians,Mechanical Designer
312,Draughtspersons and Related Architectural Technicians,Draftsman
313,Information Technology Technicians,Applications Analyst
313,Information Technology Technicians,Computer Support Engineer
313,Information Technology Technicians,Information Technology Support Technician
313,Information Technology Technicians,Technical Support Engineer
313,Information Technology Technicians,Information Technology Technician
321,Health Associate Professionals,Auxiliary Nurse
321,Health Associate Professionals,Pharmacy Technician
321,Health Associate Professionals,Dental Hygienist
321,Health Associate Professionals,Massage Therapist
321,Health Associate Professionals,Dental Associate
323,Welfare and Housing Associate Professionals,Support Worker
323,Welfare and Housing Associate Professionals,Charity Fundraiser
323,Welfare and Housing Associate Professionals,Development Coordinator
323,Welfare and Housing Associate Professionals,Housing Officer
323,Welfare and Housing Associate Professionals,Community Support Worker
331,Protective Service Occupations,Security Manager
331,Protective Service Occupations,Intelligence Analyst
331,Protective Service Occupations,Fire Engineer
331,Protective Service Occupations,Prison Officer
331,Protective Service Occupations,Police Officer
341,"Artistic, Literary and Media Occupations",Copywriter
341,"Artistic, Literary and Media Occupations",Technical Author
341,"Artistic, Literary and Media Occupations",Creative Director
341,"Artistic, Literary and Media Occupations",Dance Instructor
341,"Artistic, Literary and Media Occupations",Studio Manager
342,Design Occupations,Graphic Designer
342,Design Occupations,Interior Designer
342,Design Occupations,Digital Designer
342,Design Occupations,Visual Designer
342,Design Occupations,Designer
344,Sports and Fitness Occupations,Personal Trainer
344,Sports and Fitness Occupations,Fitness Instructor
344,Sports and Fitness Occupations,Fitness Trainer
344,Sports and Fitness Occupations,Swim Instructor
344,Sports and Fitness Occupations,Football Coach
352,Legal Associate Professionals,Paralegal
352,Legal Associate Professionals,Legal Assistant
352,Legal Associate Professionals,Property Paralegal
352,Legal Associate Professionals,Compliance Administrator
352,Legal Associate Professionals,Litigation Paralegal
353,"Business, Finance and Related Associate Professionals",Account Manager
353,"Business, Finance and Related Associate Professionals",Data Analyst
353,"Business, Finance and Related Associate Professionals",Financial Analyst
353,"Business, Finance and Related Associate Professionals",Estimator
353,"Business, Finance and Related Associate Professionals",Business Systems Analyst
354,"Sales, Marketing and Related Associate Professionals",Sales Executive
354,"Sales, Marketing and Related Associate Professionals",Business Development Executive
354,"Sales, Marketing and Related Associate Professionals",Sales Engineer
354,"Sales, Marketing and Related Associate Professionals",Account Manager
354,"Sales, Marketing and Related Associate Professionals",Marketing Executive
355,Conservation and Environmental Associate Professionals,Environmental Planner
355,Conservation and Environmental Associate Professionals,Ranger
355,Conservation and Environmental Associate Professionals,Assistant Ranger
355,Conservation and Environmental Associate Professionals,Support Worker - Environment
355,Conservation and Environmental Associate Professionals,Education Resourcer
356,Public Services and Other Associate Professionals,Recruiting Consultant
356,Public Services and Other Associate Professionals,Human Resources Advisor
356,Public Services and Other Associate Professionals,Health and Safety Manager
356,Public Services and Other Associate Professionals,Training Manager
356,Public Services and Other Associate Professionals,Recruiting Coordinator
411,Administrative Occupations: Government and Related Organisations,Administration Coordinator
411,Administrative Occupations: Government and Related Organisations,Apprentice Administrator
411,Administrative Occupations: Government and Related Organisations,Administration Support
411,Administrative Occupations: Government and Related Organisations,Membership Administrator
411,Administrative Occupations: Government and Related Organisations,Housing Administrator
412,Administrative Occupations: Finance,Accountancy Assistant
412,Administrative Occupations: Finance,Credit Controller
412,Administrative Occupations: Finance,Bookkeeper
412,Administrative Occupations: Finance,Payroll Administrator
412,Administrative Occupations: Finance,Finance Assistant
413,Administrative Occupations: Records,Human Resources Administrator
413,Administrative Occupations: Records,Document Controller
413,Administrative Occupations: Records,Recruitment Administrator
413,Administrative Occupations: Records,Logistics Coordinator
413,Administrative Occupations: Records,Pensions Administrator
416,Administrative Occupations: Office Managers and Supervisors,Office Manager
416,Administrative Occupations: Office Managers and Supervisors,Practice Manager
416,Administrative Occupations: Office Managers and Supervisors,Business Manager
416,Administrative Occupations: Office Managers and Supervisors,Customer Service Manager
416,Administrative Occupations: Office Managers and Supervisors,Senior Administrator
421,Secretarial and Related Occupations,Receptionist
421,Secretarial and Related Occupations,Personal Assistant
421,Secretarial and Related Occupations,Legal Secretary
421,Secretarial and Related Occupations,Medical Secretary
421,Secretarial and Related Occupations,Secretary
511,Agricultural and Related Trades,Gardener
511,Agricultural and Related Trades,Landscaper
511,Agricultural and Related Trades,Groundsman
511,Agricultural and Related Trades,Landscape Gardener
511,Agricultural and Related Trades,Groundskeeper
521,"Metal Forming, Welding and Related Trades",Welder
521,"Metal Forming, Welding and Related Trades",Mig Welder
521,"Metal Forming, Welding and Related Trades",Tig Welder
521,"Metal Forming, Welding and Related Trades",Sheet Metal Worker
521,"Metal Forming, Welding and Related Trades",Sheet Metal Fabricator
522,"Metal Machining, Fitting and Instrument Making Trades",CNC Programmer
