occupation_group,geography_name,demand_entry_sl,demand_entry_fe,demand_entry_he
"Caring, Leisure And Other Service Occupations",CORNWALL AND THE ISLES OF SCILLY,1275.0,2875.0,262.0
"Caring, Leisure And Other Service Occupations",SOUTH EAST,10546.0,16945.0,2603.0
"Caring, Leisure And Other Service Occupations",SWANSEA BAY CITY REGION,1267.0,2872.0,300.0
"Caring, Leisure And Other Service Occupations",GREATER LINCOLNSHIRE,1711.0,3544.0,355.0
"Caring, Leisure And Other Service Occupations",NORTHERN IRELAND,3776.48,7637.360000000001,791.9699999999999
"Caring, Leisure And Other Service Occupations",THAMES VALLEY BERKSHIRE,3252.0,4651.0,634.0
"Caring, Leisure And Other Service Occupations",SOUTH WEST ENGLAND,15799.529999999999,31617.539999999997,3296.28
"Caring, Leisure And Other Service Occupations","YORK, NORTH YORKSHIRE AND EAST RIDING",2366.0,5199.0,534.0
"Caring, Leisure And Other Service Occupations",LIVERPOOL CITY REGION,3110.0,6234.0,626.0
"Caring, Leisure And Other Service Occupations",SHEFFIELD CITY REGION,3088.0,6000.0,713.0
"Caring, Leisure And Other Service Occupations",CARDIFF CAPITAL REGION,1804.0,3575.0,460.0
"Caring, Leisure And Other Service Occupations",LONDON,26974.0,42836.0,6890.0
"Caring, Leisure And Other Service Occupations",NORTH WEST ENGLAND,20359.63,35972.17999999999,4746.46
"Caring, Leisure And Other Service Occupations",WALES,7307.51,15046.26,1709.07
"Caring, Leisure And Other Service Occupations",DORSET,2186.0,4705.0,485.0
"Caring, Leisure And Other Service Occupations",EAST OF ENGLAND,15321.439999999999,30837.219999999998,3263.1800000000003
"Caring, Leisure And Other Service Occupations",BELFAST METROPOLITAN AREA,1649.0,3484.0,352.0
"Caring, Leisure And Other Service Occupations",EAST MIDLANDS,10919.48,22406.8,2322.12
"Caring, Leisure And Other Service Occupations",WEST MIDLANDS,15079.27,29979.850000000002,3378.94
"Caring, Leisure And Other Service Occupations",SOUTH EAST MIDLANDS,3622.0,7473.0,785.0
"Caring, Leisure And Other Service Occupations",NORTH EAST ENGLAND,6468.829999999999,13899.960000000001,1260.53
