nation_region,soc3,soc_name,working_futures_projection
East Midlands,222,Therapy Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East Midlands,223,Nursing and Midwifery Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East Midlands,231,Teaching and Educational Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East Midlands,241,Legal Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East Midlands,242,"Business, Research and Administrative Professionals","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East Midlands,243,"Architects, Town Planners and Surveyors","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East Midlands,244,Welfare Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East Midlands,245,Librarians and Related Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East Midlands,246,Quality and Regulatory Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East Midlands,247,Media Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East Midlands,311,"Science, Engineering and Production Technicians","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East Midlands,312,Draughtspersons and Related Architectural Technicians,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East Midlands,313,Information Technology Technicians,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East Midlands,321,Health Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East Midlands,323,Welfare and Housing Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East Midlands,331,Protective Service Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East Midlands,341,"Artistic, Literary and Media Occupations","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East Midlands,342,Design Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East Midlands,344,Sports and Fitness Occupations,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East Midlands,351,Transport Associate Professionals,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East Midlands,352,Legal Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East Midlands,353,"Business, Finance and Related Associate Professionals","Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East Midlands,354,"Sales, Marketing and Related Associate Professionals","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East Midlands,355,Conservation and Environmental Associate Professionals,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East Midlands,356,Public Services and Other Associate Professionals,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East Midlands,411,Administrative Occupations: Government and Related Organisations,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East Midlands,412,Administrative Occupations: Finance,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East Midlands,413,Administrative Occupations: Records,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East Midlands,416,Administrative Occupations: Office Managers and Supervisors,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East Midlands,421,Secretarial and Related Occupations,"Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East Midlands,511,Agricultural and Related Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East Midlands,521,"Metal Forming, Welding and Related Trades","Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
East Midlands,522,"Metal Machining, Fitting and Instrument Making Trades","Employment in this occupation is projected to remain steady until 2020 (Working Futures, 2016)"
East Midlands,523,Vehicle Trades,"Employment in this occupation is projected to rise by 2020 (Working Futures, 2016)"
East Midlands,524,Electrical and Electronic Trades,"Employment in this occupation is projected to fall by 2020 (Working Futures, 2016)"
