jobfamilycode,Job_Family,soc2,SOC2_Title,soc3,soc3description,SOC,SOC Title,Middle_Skill
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,111,Chief Executives and Senior Officials,1115,Chief executives and senior officials,0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,111,Chief Executives and Senior Officials,1116,Elected officers and representatives,0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,112,Production Managers and Directors,1121,Production managers and directors in manufacturing,0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,112,Production Managers and Directors,1122,Production managers and directors in construction,0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,112,Production Managers and Directors,1123,Production managers and directors in mining and energy,0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,113,Functional Managers and Directors,1131,Financial managers and directors,0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,113,Functional Managers and Directors,1132,Marketing and sales directors,0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,113,Functional Managers and Directors,1133,Purchasing managers and directors,0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,113,Functional Managers and Directors,1134,Advertising and public relations directors,0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,113,Functional Managers and Directors,1135,Human resource managers and directors,0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,113,Functional Managers and Directors,1136,Information technology and telecommunications directors,0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,113,Functional Managers and Directors,1139,Functional managers and directors n.e.c.,0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,115,Financial Institution Managers and Directors,1150,Financial institution managers and directors,0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,116,Managers and Directors in Transport and Logistics,1161,Managers and directors in transport and distribution,0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,116,Managers and Directors in Transport and Logistics,1162,Managers and directors in storage and warehousing,0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,117,Senior Officers in Protective Services,1171,Officers in armed forces,0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,117,Senior Officers in Protective Services,1172,Senior police officers,0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,117,Senior Officers in Protective Services,1173,"Senior officers in fire, ambulance, prison and related services",0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,118,Health and Social Services Managers and Directors,1181,Health services and public health managers and directors,0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,118,Health and Social Services Managers and Directors,1184,Social services managers and directors,0
1,"Managers, Directors And Senior Officials",11,Corporate Managers And Directors,119,Managers and Directors in Retail and Wholesale,1190,Managers and directors in retail and wholesale,0
1,"Managers, Directors And Senior Officials",12,Other Managers And Proprietors,121,Managers and Proprietors in Agriculture Related Services,1211,Managers and proprietors in agriculture and horticulture,0
1,"Managers, Directors And Senior Officials",12,Other Managers And Proprietors,121,Managers and Proprietors in Agriculture Related Services,1213,"Managers and proprietors in forestry, fishing and related services",0
1,"Managers, Directors And Senior Officials",12,Other Managers And Proprietors,122,Managers and Proprietors in Hospitality and Leisure Services,1221,Hotel and accommodation managers and proprietors,0
1,"Managers, Directors And Senior Officials",12,Other Managers And Proprietors,122,Managers and Proprietors in Hospitality and Leisure Services,1223,Restaurant and catering establishment managers and proprietors,0
1,"Managers, Directors And Senior Officials",12,Other Managers And Proprietors,122,Managers and Proprietors in Hospitality and Leisure Services,1224,Publicans and managers of licensed premises,0
1,"Managers, Directors And Senior Officials",12,Other Managers And Proprietors,122,Managers and Proprietors in Hospitality and Leisure Services,1225,Leisure and sports managers,0
1,"Managers, Directors And Senior Officials",12,Other Managers And Proprietors,122,Managers and Proprietors in Hospitality and Leisure Services,1226,Travel agency managers and proprietors,0
1,"Managers, Directors And Senior Officials",12,Other Managers And Proprietors,124,Managers and Proprietors in Health and Care Services,1241,Health care practice managers,0
1,"Managers, Directors And Senior Officials",12,Other Managers And Proprietors,124,Managers and Proprietors in Health and Care Services,1242,"Residential, day and domiciliary care managers and proprietors",0
1,"Managers, Directors And Senior Officials",12,Other Managers And Proprietors,125,Managers and Proprietors in Other Services,1251,"Property, housing and estate managers",0
1,"Managers, Directors And Senior Officials",12,Other Managers And Proprietors,125,Managers and Proprietors in Other Services,1254,Shopkeepers and proprietors û wholesale and retail,0
1,"Managers, Directors And Senior Officials",12,Other Managers And Proprietors,125,Managers and Proprietors in Other Services,1259,Managers and proprietors in other services n.e.c.,0
1,"Managers, Directors And Senior Officials",12,Other Managers And Proprietors,125,Managers and Proprietors in Other Services,1252,Garage managers and proprietors,0
1,"Managers, Directors And Senior Officials",12,Other Managers And Proprietors,125,Managers and Proprietors in Other Services,1253,Hairdressing and beauty salon managers and proprietors,0
1,"Managers, Directors And Senior Officials",12,Other Managers And Proprietors,125,Managers and Proprietors in Other Services,1255,Waste disposal and environmental services managers,0
2,Professional Occupations,21,"Science, Research, Engineering And Technology Professionals",211,Natural and Social Science Professionals,2111,Chemical scientists,0
2,Professional Occupations,21,"Science, Research, Engineering And Technology Professionals",211,Natural and Social Science Professionals,2112,Biological scientists and biochemists,0
2,Professional Occupations,21,"Science, Research, Engineering And Technology Professionals",211,Natural and Social Science Professionals,2113,Physical scientists,0
2,Professional Occupations,21,"Science, Research, Engineering And Technology Professionals",211,Natural and Social Science Professionals,2114,Social and humanities scientists,0
2,Professional Occupations,21,"Science, Research, Engineering And Technology Professionals",211,Natural and Social Science Professionals,2119,Natural and social science professionals n.e.c.,0
2,Professional Occupations,21,"Science, Research, Engineering And Technology Professionals",212,Engineering Professionals,2121,Civil engineers,0
2,Professional Occupations,21,"Science, Research, Engineering And Technology Professionals",212,Engineering Professionals,2122,Mechanical engineers,0
2,Professional Occupations,21,"Science, Research, Engineering And Technology Professionals",212,Engineering Professionals,2123,Electrical engineers,0
2,Professional Occupations,21,"Science, Research, Engineering And Technology Professionals",212,Engineering Professionals,2124,Electronics engineers,0
2,Professional Occupations,21,"Science, Research, Engineering And Technology Professionals",212,Engineering Professionals,2126,Design and development engineers,0
2,Professional Occupations,21,"Science, Research, Engineering And Technology Professionals",212,Engineering Professionals,2127,Production and process engineers,0
2,Professional Occupations,21,"Science, Research, Engineering And Technology Professionals",212,Engineering Professionals,2129,Engineering professionals n.e.c.,0
2,Professional Occupations,21,"Science, Research, Engineering And Technology Professionals",213,Information Technology and Telecommunications Professionals,2133,IT specialist managers,0
2,Professional Occupations,21,"Science, Research, Engineering And Technology Professionals",213,Information Technology and Telecommunications Professionals,2134,IT project and programme managers,0
